city,city_ascii,state_id,lat,lng
Los Angeles,Los Angeles,CA,34.1139,-118.4068
San Francisco,San Francisco,CA,37.7562,-122.443
San Diego,San Diego,CA,32.8312,-117.1225
Riverside,Riverside,CA,33.9381,-117.3948
Sacramento,Sacramento,CA,38.5667,-121.4683
San Jose,San Jose,CA,37.3019,-121.8486
Fresno,Fresno,CA,36.7831,-119.7941
Concord,Concord,CA,37.9722,-122.0016
Mission Viejo,Mission Viejo,CA,33.6095,-117.655
Bakersfield,Bakersfield,CA,35.3529,-119.0359
Murrieta,Murrieta,CA,33.572,-117.1909
Long Beach,Long Beach,CA,33.7981,-118.1675
Oakland,Oakland,CA,37.7903,-122.2165
Indio,Indio,CA,33.7346,-116.2346
Stockton,Stockton,CA,37.9765,-121.3109
Oxnard,Oxnard,CA,34.1963,-119.1815
Modesto,Modesto,CA,37.6374,-121.0028
Anaheim,Anaheim,CA,33.839,-117.8572
Victorville,Victorville,CA,34.5277,-117.3536
Lancaster,Lancaster,CA,34.6935,-118.1753
Santa Ana,Santa Ana,CA,33.7366,-117.8819
Santa Rosa,Santa Rosa,CA,38.4458,-122.7067
Santa Clarita,Santa Clarita,CA,34.4175,-118.4964
Antioch,Antioch,CA,37.9789,-121.7958
Irvine,Irvine,CA,33.6772,-117.7738
Chula Vista,Chula Vista,CA,32.6281,-117.0145
Fremont,Fremont,CA,37.5265,-121.9852
Visalia,Visalia,CA,36.3276,-119.3269
San Bernardino,San Bernardino,CA,34.1417,-117.2946
Thousand Oaks,Thousand Oaks,CA,34.1914,-118.8755
Fontana,Fontana,CA,34.0968,-117.4599
Moreno Valley,Moreno Valley,CA,33.9244,-117.2045
Santa Barbara,Santa Barbara,CA,34.4285,-119.7202
Glendale,Glendale,CA,34.1818,-118.2468
Huntington Beach,Huntington Beach,CA,33.696,-118.0025
Salinas,Salinas,CA,36.6884,-121.6317
Ontario,Ontario,CA,34.0393,-117.6064
Rancho Cucamonga,Rancho Cucamonga,CA,34.1248,-117.5666
Hemet,Hemet,CA,33.7341,-116.9969
Santa Cruz,Santa Cruz,CA,36.9789,-122.0346
Oceanside,Oceanside,CA,33.2247,-117.3083
Elk Grove,Elk Grove,CA,38.416,-121.3842
Vallejo,Vallejo,CA,38.1133,-122.2358
Garden Grove,Garden Grove,CA,33.7787,-117.9601
Corona,Corona,CA,33.8616,-117.5649
Hayward,Hayward,CA,37.6328,-122.0772
Palmdale,Palmdale,CA,34.5944,-118.1057
Sunnyvale,Sunnyvale,CA,37.3836,-122.0256
Pomona,Pomona,CA,34.0585,-117.7626
Escondido,Escondido,CA,33.1347,-117.0722
