Year,Average Age Range,Ave People in Household,Ave Rent per Month,County,County Region,Cities
2015,0-9 Years Old,4.0,916.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,10-19 Years Old,4.0,989.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,20-29 Years Old,3.0,884.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,30-39 Years Old,4.0,1125.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,40-49 Years Old,3.0,710.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,50-59 Years Old,3.0,666.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,60-69 Years Old,3.0,459.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,70-79 Years Old,2.0,450.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,80-89 Years Old,2.0,360.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,90-99 Years Old,2.0,612.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,0-9 Years Old,4.0,916.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,10-19 Years Old,4.0,989.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,20-29 Years Old,3.0,884.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,30-39 Years Old,3.0,1125.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,40-49 Years Old,4.0,710.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,50-59 Years Old,3.0,666.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,60-69 Years Old,3.0,459.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,70-79 Years Old,3.0,450.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,80-89 Years Old,2.0,360.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,90-99 Years Old,2.0,612.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,0-9 Years Old,5.0,916.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,10-19 Years Old,5.0,989.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,20-29 Years Old,4.0,884.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,30-39 Years Old,3.0,1125.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,40-49 Years Old,4.0,710.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,50-59 Years Old,3.0,666.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,60-69 Years Old,3.0,459.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,70-79 Years Old,3.0,450.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,80-89 Years Old,3.0,360.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,90-99 Years Old,2.0,612.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,0-9 Years Old,5.0,1068.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,10-19 Years Old,5.0,1038.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,20-29 Years Old,4.0,1288.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,30-39 Years Old,3.0,1299.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,40-49 Years Old,4.0,1020.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,50-59 Years Old,3.0,734.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,60-69 Years Old,3.0,632.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,70-79 Years Old,3.0,405.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,80-89 Years Old,3.0,493.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,90-99 Years Old,2.0,251.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,0-9 Years Old,5.0,991.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,10-19 Years Old,4.0,1429.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,20-29 Years Old,4.0,956.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,30-39 Years Old,3.0,1293.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,40-49 Years Old,4.0,1060.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,50-59 Years Old,3.0,528.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,60-69 Years Old,3.0,636.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,70-79 Years Old,3.0,576.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,80-89 Years Old,2.0,244.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,90-99 Years Old,3.0,574.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,0-9 Years Old,5.0,938.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,10-19 Years Old,5.0,983.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,20-29 Years Old,5.0,881.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,30-39 Years Old,4.0,911.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,40-49 Years Old,5.0,895.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,50-59 Years Old,4.0,769.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,60-69 Years Old,4.0,542.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,70-79 Years Old,3.0,422.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,80-89 Years Old,2.0,341.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,90-99 Years Old,4.0,369.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,0-9 Years Old,5.0,938.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,10-19 Years Old,5.0,983.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,20-29 Years Old,5.0,881.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,30-39 Years Old,4.0,911.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,40-49 Years Old,5.0,895.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,50-59 Years Old,4.0,769.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,60-69 Years Old,4.0,542.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,70-79 Years Old,3.0,422.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,80-89 Years Old,4.0,341.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2016,90-99 Years Old,3.0,369.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,0-9 Years Old,5.0,938.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2017,10-19 Years Old,5.0,983.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
