Year,Average Household Income,Ave People in Household,Ave Rent per Month,County,County Region,Cities
2015,1-20000,2.0,553.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,120001-160000,4.0,754.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,160001-200000,3.0,465.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,200000-Max,4.0,447.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,20001-40000,3.0,812.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,400001-60000,3.0,806.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,60001-80000,3.0,683.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,80001-120000,3.0,730.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,Negative Income,0.0,240.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,No Income,2.0,1010.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,1-20000,2.0,875.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,120001-160000,3.0,648.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,160001-200000,4.0,732.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,200000-Max,3.0,311.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,20001-40000,3.0,948.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,400001-60000,3.0,816.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,60001-80000,3.0,931.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,80001-120000,3.0,830.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,Negative Income,0.0,380.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2016,No Income,2.0,834.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,1-20000,2.0,722.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,120001-160000,3.0,703.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,160001-200000,3.0,533.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,200000-Max,3.0,447.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,20001-40000,3.0,898.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,400001-60000,3.0,918.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,60001-80000,3.0,911.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,80001-120000,2.0,823.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,Negative Income,0.0,282.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2017,No Income,1.0,1015.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,1-20000,2.0,816.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,120001-160000,3.0,1283.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,160001-200000,3.0,703.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,200000-Max,3.0,282.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,20001-40000,2.0,885.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,400001-60000,3.0,1168.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,60001-80000,2.0,1011.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,80001-120000,3.0,1053.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,Negative Income,0.0,713.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2018,No Income,2.0,1699.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,1-20000,2.0,686.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,120001-160000,3.0,717.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,160001-200000,3.0,1157.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,200000-Max,3.0,634.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,20001-40000,3.0,1072.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,400001-60000,3.0,962.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,60001-80000,2.0,1059.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,80001-120000,3.0,1039.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,Negative Income,0.0,524.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2019,No Income,1.0,753.0,Los Angeles,Central,Alhambra & South Pasadena Cities
2015,1-20000,3.0,725.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,120001-160000,5.0,532.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,160001-200000,7.0,455.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,200000-Max,5.0,0.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,20001-40000,4.0,860.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
2015,400001-60000,4.0,767.0,Los Angeles,Central,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
