Year,Average Household Income,Ave People in Household,Ave Rent per Month,County,County Region,Cities
2015,1-20000,2,553,Los Angeles,Central,Alhambra 
2015,120001-160000,4,754,Los Angeles,Central,Alhambra 
2015,160001-200000,3,465,Los Angeles,Central,Alhambra 
2015,200000-Max,4,447,Los Angeles,Central,Alhambra 
2015,20001-40000,3,812,Los Angeles,Central,Alhambra 
2015,400001-60000,3,806,Los Angeles,Central,Alhambra 
2015,60001-80000,3,683,Los Angeles,Central,Alhambra 
2015,80001-120000,3,730,Los Angeles,Central,Alhambra 
2015,Negative Income,0,240,Los Angeles,Central,Alhambra 
2015,No Income,2,1010,Los Angeles,Central,Alhambra 
2016,1-20000,2,875,Los Angeles,Central,Alhambra 
2016,120001-160000,3,648,Los Angeles,Central,Alhambra 
2016,160001-200000,4,732,Los Angeles,Central,Alhambra 
2016,200000-Max,3,311,Los Angeles,Central,Alhambra 
2016,20001-40000,3,948,Los Angeles,Central,Alhambra 
2016,400001-60000,3,816,Los Angeles,Central,Alhambra 
2016,60001-80000,3,931,Los Angeles,Central,Alhambra 
2016,80001-120000,3,830,Los Angeles,Central,Alhambra 
2016,Negative Income,0,380,Los Angeles,Central,Alhambra 
2016,No Income,2,834,Los Angeles,Central,Alhambra 
2017,1-20000,2,722,Los Angeles,Central,Alhambra 
2017,120001-160000,3,703,Los Angeles,Central,Alhambra 
2017,160001-200000,3,533,Los Angeles,Central,Alhambra 
2017,200000-Max,3,447,Los Angeles,Central,Alhambra 
2017,20001-40000,3,898,Los Angeles,Central,Alhambra 
2017,400001-60000,3,918,Los Angeles,Central,Alhambra 
2017,60001-80000,3,911,Los Angeles,Central,Alhambra 
2017,80001-120000,2,823,Los Angeles,Central,Alhambra 
2017,Negative Income,0,282,Los Angeles,Central,Alhambra 
2017,No Income,1,1015,Los Angeles,Central,Alhambra 
2018,1-20000,2,816,Los Angeles,Central,Alhambra 
2018,120001-160000,3,1283,Los Angeles,Central,Alhambra 
2018,160001-200000,3,703,Los Angeles,Central,Alhambra 
2018,200000-Max,3,282,Los Angeles,Central,Alhambra 
2018,20001-40000,2,885,Los Angeles,Central,Alhambra 
2018,400001-60000,3,1168,Los Angeles,Central,Alhambra 
2018,60001-80000,2,1011,Los Angeles,Central,Alhambra 
2018,80001-120000,3,1053,Los Angeles,Central,Alhambra 
2018,Negative Income,0,713,Los Angeles,Central,Alhambra 
2018,No Income,2,1699,Los Angeles,Central,Alhambra 
2019,1-20000,2,686,Los Angeles,Central,Alhambra 
2019,120001-160000,3,717,Los Angeles,Central,Alhambra 
2019,160001-200000,3,1157,Los Angeles,Central,Alhambra 
2019,200000-Max,3,634,Los Angeles,Central,Alhambra 
2019,20001-40000,3,1072,Los Angeles,Central,Alhambra 
2019,400001-60000,3,962,Los Angeles,Central,Alhambra 
2019,60001-80000,2,1059,Los Angeles,Central,Alhambra 
2019,80001-120000,3,1039,Los Angeles,Central,Alhambra 
2019,Negative Income,0,524,Los Angeles,Central,Alhambra 
2019,No Income,1,753,Los Angeles,Central,Alhambra 
2015,1-20000,3,725,Los Angeles,Central,Bell Gardens
2015,120001-160000,5,532,Los Angeles,Central,Bell Gardens
2015,160001-200000,7,455,Los Angeles,Central,Bell Gardens
2015,200000-Max,5,0,Los Angeles,Central,Bell Gardens
2015,20001-40000,4,860,Los Angeles,Central,Bell Gardens
2015,400001-60000,4,767,Los Angeles,Central,Bell Gardens
2015,60001-80000,4,672,Los Angeles,Central,Bell Gardens
2015,80001-120000,4,607,Los Angeles,Central,Bell Gardens
2015,Negative Income,0,394,Los Angeles,Central,Bell Gardens
2015,No Income,1,1076,Los Angeles,Central,Bell Gardens
2016,1-20000,3,719,Los Angeles,Central,Bell Gardens
2016,120001-160000,5,639,Los Angeles,Central,Bell Gardens
2016,160001-200000,6,769,Los Angeles,Central,Bell Gardens
2016,200000-Max,5,2187,Los Angeles,Central,Bell Gardens
2016,20001-40000,3,829,Los Angeles,Central,Bell Gardens
2016,400001-60000,4,913,Los Angeles,Central,Bell Gardens
2016,60001-80000,4,799,Los Angeles,Central,Bell Gardens
2016,80001-120000,5,394,Los Angeles,Central,Bell Gardens
2016,Negative Income,0,323,Los Angeles,Central,Bell Gardens
2016,No Income,1,475,Los Angeles,Central,Bell Gardens
2017,1-20000,3,737,Los Angeles,Central,Bell Gardens
2017,120001-160000,6,683,Los Angeles,Central,Bell Gardens
2017,160001-200000,5,339,Los Angeles,Central,Bell Gardens
2017,200000-Max,3,0,Los Angeles,Central,Bell Gardens
2017,20001-40000,3,750,Los Angeles,Central,Bell Gardens
2017,400001-60000,4,943,Los Angeles,Central,Bell Gardens
2017,60001-80000,4,958,Los Angeles,Central,Bell Gardens
2017,80001-120000,4,584,Los Angeles,Central,Bell Gardens
2017,Negative Income,0,349,Los Angeles,Central,Bell Gardens
