Source: ACS 1-Year Estimates Public Use Microdata Sample 2016,,,,,,,,,,
Weight used: WGTP,,,,,,,,,,
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea...",,,,,,,,,,
,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)",,,,,,,,,
Selected Geographies,200000-Max,Negative Income,No Income,20001-40000,60001-80000,80001-120000,120001-160000,160001-200000,1-20000,400001-60000
"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",234,235,739,474,437,292,146,203,533,375
"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",263,521,1505,700,649,574,411,187,772,740
"Los Angeles County (North Central)--Lancaster City PUMA, California",127,432,650,636,554,267,22,66,456,626
"Los Angeles County (North Central)--Palmdale City PUMA, California",495,106,64,404,420,392,154,0,499,270
"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",162,426,1017,681,573,558,375,194,730,804
"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",136,901,1325,690,820,431,193,308,599,501
"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",0,89,427,656,432,227,399,275,605,441
"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",254,75,1496,755,540,363,547,136,708,461
"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",180,248,,684,542,380,319,303,613,483
"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",105,364,482,583,434,464,528,417,436,547
"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",217,0,690,390,532,306,234,159,413,688
"Los Angeles County (East Central)--Pomona City PUMA, California",990,83,606,866,649,536,251,0,660,691
"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",25,464,265,644,598,408,266,323,770,564
"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",94,538,912,664,387,598,465,190,645,679
"Los Angeles County (East Central)--West Covina City PUMA, California",107,402,858,778,470,431,196,0,706,759
"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",109,780,,489,307,268,280,634,393,512
"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",295,258,1257,962,771,737,630,157,673,711
