Source: ACS 1-Year Estimates Public Use Microdata Sample 2017
Weight used: WGTP
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Los Angeles County (North/Unincorporated)--Castaic PUMA, California","4","0","3","3","3","3","3","3","2","3"
"Los Angeles County (Northwest)--Santa Clarita City PUMA, California","4","0","1","2","3","3","3","3","2","3"
"Los Angeles County (North Central)--Lancaster City PUMA, California","3","0","2","3","3","4","3","3","2","3"
"Los Angeles County (North Central)--Palmdale City PUMA, California","4","0","1","3","4","4","4","4","2","3"
"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California","3","0","1","2","3","3","3","3","1","2"
"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California","4","0","3","3","3","3","4","3","2","3"
"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California","5","0","2","3","4","5","5","5","2","4"
"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California","3","0","1","2","3","3","3","4","2","3"
"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California","3","0","","2","2","2","3","3","2","2"
"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California","4","0","3","3","4","4","3","5","2","3"
"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California","3","0","3","2","3","3","3","3","1","2"
"Los Angeles County (East Central)--Pomona City PUMA, California","5","0","2","3","3","4","5","4","3","3"
"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California","4","0","2","3","3","3","3","3","2","3"
"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California","4","0","2","3","3","3","3","4","2","3"
"Los Angeles County (East Central)--West Covina City PUMA, California","5","0","1","3","4","4","4","4","2","3"
"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California","5","0","3","3","4","5","5","5","3","4"
