Source: ACS 1-Year Estimates Public Use Microdata Sample 2016
Weight used: WGTP
"Universe: selected geographies: Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","3","0","1","3","3","3","5","3","2","3"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","2","0","1","2","2","2","2","2","1","2"
"Riverside County (Southwest)--Temecula City PUMA, California","4","0","1","3","3","3","4","4","2","3"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","4","0","3","3","3","3","3","4","2","3"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","3","0","2","2","3","3","3","4","2","3"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","5","0","4","3","3","4","3","4","2","3"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","4","0","2","3","3","3","4","3","2","3"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","5","0","1","4","4","4","4","4","3","4"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","4","0","3","3","4","4","4","5","2","4"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","3","0","2","3","3","4","3","3","2","3"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","3","0","1","3","3","3","4","3","2","3"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","4","0","1","3","4","4","4","4","2","2"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","4","0","2","2","3","3","4","3","2","3"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","4","0","2","3","3","4","4","4","2","4"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","3","0","1","2","3","2","3","3","1","2"
