Source: ACS 1-Year Estimates Public Use Microdata Sample 2018
Weight used: WGTP
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Los Angeles County (North/Unincorporated)--Castaic PUMA, California","449","267","523","423","269","97","116","115","251","674"
"Los Angeles County (Northwest)--Santa Clarita City PUMA, California","661","465","782","664","458","455","392","260","258","792"
"Los Angeles County (North Central)--Lancaster City PUMA, California","543","661","658","469","518","480","338","225","372","0"
"Los Angeles County (North Central)--Palmdale City PUMA, California","627","370","496","456","401","299","169","145","117","0"
"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California","634","868","1008","766","630","534","271","243","226","221"
"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California","618","603","565","527","544","451","155","191","153","104"
"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California","701","725","554","555","517","521","250","177","125","155"
"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California","624","649","664","712","608","527","297","226","134","146"
"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California","492","815","628","462","445","623","248","311","408","309"
"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California","781","656","669","691","517","475","381","216","512","0"
"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California","762","558","738","803","397","381","236","90","575","1002"
"Los Angeles County (East Central)--Pomona City PUMA, California","788","773","769","708","719","478","306","267","634","185"
"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California","672","454","857","504","477","365","338","71","172","0"
"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California","849","802","914","668","536","419","237","235","249","138"
"Los Angeles County (East Central)--West Covina City PUMA, California","729","626","444","759","440","327","255","96","200","0"
