Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","173","318","490","705","1180","831","534","470","452","960"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","211","2008","0","805","520","685","510","400","429","216"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","570","833","1253","1068","878","1030","995","1204","734","793"
"Orange County (Central)--Irvine City (Central) PUMA, California","794","672","2237","1209","1006","1447","1346","1411","1070","1320"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","512","820","992","1008","846","965","774","490","599","1035"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","346","152","416","324","722","600","448","345","544","891"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","256","1224","697","926","1182","859","705","444","594","953"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","503","454","412","675","595","688","347","582","572","592"
"Orange County (North Central)--Anaheim City (West) PUMA, California","519","482","1232","969","991","795","851","710","787","1110"
"Orange County (North Central)--Anaheim City (East) PUMA, California","275","1548","684","857","1101","920","787","613","840","1161"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","176","450","1718","837","709","526","613","482","1036","1013"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","699","587","1346","984","680","730","538","529","813","986"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","537","974","1243","727","910","718","564","526","939","985"
"Orange County (Northwest)--Huntington Beach City PUMA, California","258","622","1546","827","1211","969","801","849","922","1158"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","139","689","583","1079","1406","479","332","457","829","604"
"Orange County (Central)--Santa Ana City (West) PUMA, California","450","1509","558","818","840","913","415","650","681","734"
"Orange County (Central)--Santa Ana City (East) PUMA, California","981","885","1236","1112","1128","938","822","686","1048","955"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","557","914","999","1016","1125","1134","965","970","1189","1120"
