Source: ACS 1-Year Estimates Public Use Microdata Sample 2015
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","90-99 Years Old","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","3","5","5","4","4","4","3","3","2","2"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","1","5","5","4","4","3","3","2","2","2"
"Riverside County (Southwest)--Temecula City PUMA, California","3","5","4","4","4","4","3","3","3","2"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","1","5","5","4","4","4","3","3","3","3"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","3","5","5","4","4","4","3","3","2","2"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","2","5","5","4","4","4","3","3","2","2"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","2","5","5","5","4","4","3","3","2","2"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","3","5","5","5","4","4","4","3","3","3"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","2","5","6","5","5","5","4","3","3","6"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","3","5","5","4","4","4","3","3","3","2"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","2","5","5","4","4","4","3","3","3","2"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","6","5","5","4","4","4","3","3","3","4"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","2","5","5","4","4","4","3","3","2","3"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","2","6","6","5","5","5","4","3","4","3"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","2","5","5","3","4","3","3","2","2","2"
