Source: ACS 1-Year Estimates Public Use Microdata Sample 2018
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","90-99 Years Old","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","230","481","217","245","261","186","189","139","138","186"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","284","553","554","568","687","458","333","164","201","166"
"Riverside County (Southwest)--Temecula City PUMA, California","222","524","600","615","691","378","330","193","183","437"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","932","597","590","562","651","461","206","258","214","376"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","75","412","421","441","401","285","345","174","143","80"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","841","476","470","617","463","396","327","208","97","464"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","0","360","378","511","264","369","264","170","169","143"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","514","593","631","707","457","546","378","348","224","172"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","0","410","676","414","394","548","264","108","197","0"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","135","682","777","770","783","730","431","316","216","136"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","190","586","453","552","557","448","331","305","283","302"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","1037","864","387","469","519","290","169","205","190","102"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","282","763","637","569","730","445","307","307","234","184"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","0","467","579","591","411","408","391","169","175","306"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","743","572","402","551","545","434","224","199","214","58"
