Source: ACS 1-Year Estimates Public Use Microdata Sample 2018
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","101","74","69","283","152","182","130","303","258","160"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","160","85","726","458","367","258","113","139","416","462"
"Riverside County (Southwest)--Temecula City PUMA, California","354","911","1361","772","523","527","71","220","615","761"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","83","519","618","593","531","461","354","367","510","745"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","250","294","417","422","316","231","259","80","333","379"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","167","316","650","430","401","450","410","293","371","240"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","52","329","863","371","309","252","196","144","310","245"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","249","567","715","675","602","341","326","421","586","543"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","359","511","1100","517","105","462","331","157","489","345"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","311","351","647","769","582","359","394","626","742","840"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","73","360","1232","623","567","360","406","487","610","551"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","93","646","729","537","280","508","261","146","669","429"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","105","330","713","680","637","466","385","174","540","783"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","218","0","1467","345","187","464","370","446","538","546"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","191","26","287","394","322","241","134","216","457","461"
