Source: ACS 1-Year Estimates Public Use Microdata Sample 2016
Weight used: WGTP
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Los Angeles County (North/Unincorporated)--Castaic PUMA, California","296","334","195","364","297","107","119","117","0","0"
"Los Angeles County (Northwest)--Santa Clarita City PUMA, California","713","678","742","676","691","418","294","419","575","258"
"Los Angeles County (North Central)--Lancaster City PUMA, California","601","502","582","507","493","354","233","271","266","0"
"Los Angeles County (North Central)--Palmdale City PUMA, California","561","468","514","582","460","294","246","375","203","153"
"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California","835","642","1078","844","712","492","239","280","287","310"
"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California","632","659","677","664","650","414","224","272","193","223"
"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California","568","451","391","439","429","321","207","245","137","684"
"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California","601","475","523","825","500","458","434","492","461","223"
"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California","722","482","671","639","742","389","162","350","196","0"
"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California","807","785","692","702","629","424","283","276","371","681"
"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California","525","462","629","535","540","197","231","216","206","614"
"Los Angeles County (East Central)--Pomona City PUMA, California","655","710","714","616","436","345","242","176","577","0"
"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California","463","577","505","495","430","252","247","98","89","356"
"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California","667","357","530","688","499","308","254","84","358","161"
"Los Angeles County (East Central)--West Covina City PUMA, California","605","557","531","645","503","392","194","202","367","0"
