Source: ACS 1-Year Estimates Public Use Microdata Sample 2019,,,,,,,,,,
Weight used: WGTP,,,,,,,,,,
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea...",,,,,,,,,,
,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)",,,,,,,,,
Selected Geographies,200000-Max,Negative Income,No Income,20001-40000,60001-80000,80001-120000,120001-160000,160001-200000,1-20000,400001-60000
"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",60,561,687,544,304,287,89,536,150,348
"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",179,605,329,826,589,681,478,156,1061,595
"Los Angeles County (North Central)--Lancaster City PUMA, California",595,295,395,681,437,519,348,121,569,505
"Los Angeles County (North Central)--Palmdale City PUMA, California",319,839,492,496,334,244,458,389,527,575
"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",192,813,1763,1094,728,762,333,734,661,760
"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",144,529,362,684,984,501,422,267,715,841
"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",122,404,929,772,422,443,352,148,621,470
"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",228,201,114,798,583,474,417,560,668,489
"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",239,0,1975,755,1009,656,384,526,901,498
"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",339,763,622,636,568,487,249,279,561,695
"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",126,294,937,616,777,759,391,203,336,700
"Los Angeles County (East Central)--Pomona City PUMA, California",534,527,996,743,565,519,789,262,803,659
"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",20,915,1578,668,433,551,860,0,553,649
"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",81,784,1107,528,683,582,381,457,476,523
"Los Angeles County (East Central)--West Covina City PUMA, California",290,339,35,678,776,498,389,607,725,595
"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",171,631,,500,272,498,440,647,360,774
"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",372,827,1541,806,912,755,565,595,564,794
