Source: ACS 1-Year Estimates Public Use Microdata Sample 2015
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","5","4","4","4","4","3","2","2","2","2"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","5","4","4","4","4","3","3","2","2","2"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","4","4","3","3","4","3","2","2","2","1"
"Orange County (Central)--Irvine City (Central) PUMA, California","4","5","3","3","4","3","3","2","2","3"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","4","5","4","3","4","3","3","2","2","3"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","4","4","4","4","4","3","3","2","2","2"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","5","5","4","4","4","3","3","3","2","2"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","5","4","4","4","4","3","3","2","2","2"
"Orange County (North Central)--Anaheim City (West) PUMA, California","5","5","4","4","4","4","3","3","2","2"
"Orange County (North Central)--Anaheim City (East) PUMA, California","6","5","4","5","4","3","3","3","2","3"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","6","5","4","4","4","3","3","2","2","2"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","5","5","4","4","4","3","3","3","2","3"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","5","5","5","5","5","4","4","4","3","3"
"Orange County (Northwest)--Huntington Beach City PUMA, California","5","4","3","4","3","3","2","2","2","2"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","5","5","3","4","4","3","2","2","2","1"
"Orange County (Central)--Santa Ana City (West) PUMA, California","7","6","6","6","5","5","4","3","4","5"
"Orange County (Central)--Santa Ana City (East) PUMA, California","6","6","5","6","5","5","5","3","3","2"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","4","5","3","3","3","3","2","2","2","2"
