Source: ACS 1-Year Estimates Public Use Microdata Sample 2017
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","1035","1048","836","975","928","622","364","194","321","815"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","602","685","936","719","621","405","176","139","82","356"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","391","795","1087","834","791","833","457","337","338","599"
"Orange County (Central)--Irvine City (Central) PUMA, California","1290","894","1796","1396","971","852","639","624","452","546"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","1028","560","1003","891","740","501","223","315","198","444"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","677","666","862","658","660","336","143","94","118","226"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","1021","1064","1163","791","904","547","331","334","287","83"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","1002","756","902","1016","740","481","420","201","177","29"
"Orange County (North Central)--Anaheim City (West) PUMA, California","1116","926","906","1055","955","664","596","668","478","0"
"Orange County (North Central)--Anaheim City (East) PUMA, California","897","921","947","886","822","626","356","311","169","119"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","828","878","1149","727","814","419","219","152","163","1004"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","909","946","894","934","768","698","421","437","340","212"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","1054","739","902","812","603","689","385","369","445","536"
"Orange County (Northwest)--Huntington Beach City PUMA, California","1017","887","1256","1073","897","460","377","202","450","79"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","363","314","705","591","353","293","394","78","582","1442"
"Orange County (Central)--Santa Ana City (West) PUMA, California","927","683","749","875","612","548","465","294","382","188"
"Orange County (Central)--Santa Ana City (East) PUMA, California","1089","994","871","961","832","697","715","305","322","0"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","1186","848","1287","1357","895","639","320","280","302","339"
