Source: ACS 1-Year Estimates Public Use Microdata Sample 2017
Weight used: WGTP
"Universe: selected geographies: Orange County (Southwest)--..., Orange County (South Centra..., Orange County (West Central..., Orange County (Central)--Ir..., Orange County (Northeast)--..., Orange County (North)--Yorb..., Orange County (North Centra..., Orange County (Northwest)--..., Orange County (North Centra..., Orange County (North Centra..., Orange County (Central)--Or..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Northwest)--..., Orange County (Southeast)--..., Orange County (Central)--Sa..., Orange County (Central)--Sa..., Orange County (Central)--Co..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California","324","221","2261","671","905","563","693","382","816","627"
"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California","212","809","","558","642","559","353","574","645","495"
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California","459","569","1396","898","839","896","894","453","811","642"
"Orange County (Central)--Irvine City (Central) PUMA, California","588","837","1790","1151","1322","966","1235","1140","1035","1326"
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California","425","609","702","924","919","719","630","179","702","999"
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California","178","755","666","558","889","480","688","183","721","421"
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California","221","926","1632","957","843","716","471","414","925","842"
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California","106","81","913","570","631","624","702","426","792","743"
"Orange County (North Central)--Anaheim City (West) PUMA, California","772","1005","840","1086","948","849","681","56","861","960"
"Orange County (North Central)--Anaheim City (East) PUMA, California","191","1429","1146","944","947","844","320","835","743","967"
"Orange County (Central)--Orange & Villa Park Cities PUMA, California","395","646","1918","688","941","693","427","0","652","723"
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California","72","270","1118","861","754","573","670","381","1064","763"
"Orange County (Northwest)--Garden Grove City (East) PUMA, California","376","1168","520","907","957","699","198","439","707","699"
"Orange County (Northwest)--Huntington Beach City PUMA, California","329","331","709","871","579","831","751","590","744","787"
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California","113","0","629","877","908","788","408","331","1101","677"
"Orange County (Central)--Santa Ana City (West) PUMA, California","530","482","184","861","857","584","352","316","722","642"
"Orange County (Central)--Santa Ana City (East) PUMA, California","562","864","1058","1133","735","751","427","82","776","1121"
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California","574","713","1516","952","799","1091","698","915","1137","1031"
