Source: ACS 1-Year Estimates Public Use Microdata Sample 2015
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","90-99 Years Old","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","440","428","390","351","454","408","278","191","168","125"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","201","601","578","662","565","511","342","231","125","224"
"Riverside County (Southwest)--Temecula City PUMA, California","0","685","813","733","732","580","421","425","215","14"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","663","539","513","662","566","417","414","373","157","545"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","86","446","330","501","351","440","222","173","162","233"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","1518","583","402","686","455","339","286","272","201","265"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","98","573","371","505","459","309","263","245","128","103"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","101","421","418","448","444","351","287","244","133","283"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","0","393","488","381","471","323","279","121","89","240"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","171","526","550","755","514","485","325","148","151","65"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","379","626","464","697","512","493","386","205","258","238"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","0","427","333","442","510","335","214","135","87","44"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","568","454","451","581","486","410","259","168","185","147"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","0","656","545","492","469","552","270","167","74","71"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","245","533","642","466","612","539","316","179","182","165"
