Source: ACS 1-Year Estimates Public Use Microdata Sample 2017
Weight used: WGTP
"Universe: selected geographies: Riverside County (East)--In..., Riverside County (Central)-..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (Southwest..., Riverside County (North Cen..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County (Northwest..., Riverside County (West Cent..., Riverside County (West Cent..., Riverside County (Northwest..., Riverside County--Palm Dese..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Selected Geographies","200000-Max","Negative Income","No Income","20001-40000","60001-80000","80001-120000","120001-160000","160001-200000","1-20000","400001-60000"
"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California","0","100","220","175","96","126","84","181","207","294"
"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California","179","92","195","382","345","242","214","255","479","540"
"Riverside County (Southwest)--Temecula City PUMA, California","157","275","390","746","663","400","409","385","807","847"
"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California","36","284","1300","511","321","638","247","0","525","606"
"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California","97","0","290","423","386","293","288","209","428","527"
"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California","171","377","420","328","444","389","353","43","317","495"
"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California","298","25","170","242","259","245","227","0","453","332"
"Riverside County (Northwest)--Moreno Valley City PUMA, California","267","689","706","726","534","256","473","149","721","574"
"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California","229","191","0","566","279","204","477","0","481","357"
"Riverside County (Northwest)--Riverside City (East) PUMA, California","76","426","561","746","549","253","327","511","790","756"
"Riverside County (Northwest)--Riverside City (West) PUMA, California","513","749","568","697","523","589","284","158","746","553"
"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California","0","0","1668","905","349","352","94","66","243","483"
"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California","162","346","127","630","604","484","336","0","681","584"
"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California","199","1054","1712","423","327","364","400","175","566","379"
"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California","156","49","558","424","307","337","199","326","684","352"
